policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,committee,21,1,accepted,2.574612,2.706925,1502.282226,0.023025,3037573,1511.063326
idba,sybil-0,default,19,1,accepted,2.620585,2.392067,32.192001,0.018278,67066,39.275303
idba,sybil-0,reward,20,1,accepted,2.742854,2.547879,142.653684,0.016625,296036,149.980062
idba,sybil-0,default,19,1,accepted,2.723503,2.462887,107.433411,0.017696,224521,114.618207
idba,sybil-0,hotspot,20,1,accepted,2.903411,2.684833,153.248704,0.016331,317082,160.920501
idba,sybil-0,hotspot,20,1,accepted,2.635408,2.535385,18.409662,0.016210,38561,25.693332
idba,sybil-0,hotspot,20,1,accepted,2.849018,2.514670,231.930714,0.016015,478189,239.426437
idba,sybil-0,hotspot,20,1,accepted,2.794648,2.518131,127.529111,0.016095,264622,134.841276
idba,sybil-0,committee,20,1,accepted,2.826592,2.247308,167.208742,0.016150,346211,174.371935
idba,sybil-0,default,19,1,accepted,2.628455,2.554672,179.517191,0.017491,372433,186.848343
idba,sybil-0,hotspot,20,1,accepted,2.658735,2.377462,1202.223192,0.016842,2417530,1209.568815
idba,sybil-0,default,19,1,accepted,2.724866,2.548259,40.670416,0.017740,83932,48.194507
idba,sybil-0,hotspot,20,1,accepted,2.889874,2.525201,829.171520,0.017543,1684885,836.646667
idba,sybil-0,hotspot,20,1,accepted,2.865595,2.220137,1205.670662,0.016816,2437980,1212.901464
idba,sybil-0,default,19,1,accepted,2.881495,2.537623,23.420476,0.017834,48758,31.093219
idba,sybil-0,hotspot,20,1,accepted,2.629688,2.492665,21.017460,0.016014,43879,28.505614
idba,sybil-0,reward,20,1,accepted,2.726059,2.611429,625.564625,0.016975,1275539,633.017607
idba,sybil-0,committee,20,1,accepted,2.673794,2.551672,105.655038,0.016200,217880,112.937725
idba,sybil-0,default,19,1,accepted,2.707483,2.578641,235.611179,0.018223,485018,243.048939
idba,sybil-0,reward,20,1,accepted,2.601933,2.518378,89.767110,0.016026,185579,97.089244
idba,sybil-0,default,19,1,accepted,2.812653,2.537582,193.339132,0.017721,396374,200.774436
idba,sybil-0,default,19,1,accepted,2.716570,1.995911,1090.023591,0.018258,2199333,1097.025438
idba,sybil-0,default,19,1,accepted,2.705465,2.645228,220.031742,0.017562,451789,227.537789
idba,sybil-0,default,19,1,accepted,2.737000,2.623287,25.752337,0.017370,51320,33.321855
idba,sybil-0,hotspot,20,1,accepted,2.824895,2.436351,8.159341,0.016111,16959,15.377059
idba,sybil-0,committee,20,1,accepted,2.401088,2.310186,437.559356,0.016441,897945,445.953231
idba,sybil-0,hotspot,20,1,accepted,2.591255,2.659187,223.514665,0.024192,459551,230.749459
idba,sybil-0,default,19,1,accepted,2.699281,2.417810,389.004767,0.017466,798769,396.289604
