policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,honest-0,default,19,1,accepted,3.737284,1.050217,322.532573,0.027969,268686,328.374025
idba,honest-0,default,18,1,accepted,3.400607,1.046767,191.791329,0.021780,135593,197.182037
idba,honest-0,default,18,1,accepted,3.118854,1.151220,44.156335,0.017141,12369,49.383705
idba,honest-0,default,18,1,accepted,3.559495,1.071234,236.607531,0.017279,175074,242.205159
idba,honest-0,default,18,1,accepted,3.304633,1.155123,198.976512,0.027673,141702,204.407521
idba,honest-0,default,18,1,accepted,3.397590,1.036257,67.114396,0.017049,27624,72.474530
idba,honest-0,default,18,1,accepted,3.169657,1.055961,94.601512,0.017050,53102,99.625631
idba,honest-0,default,18,1,accepted,3.525886,0.954789,165.975881,0.017164,113465,171.293174
idba,honest-0,default,18,1,accepted,3.603053,1.035600,848.794195,0.017746,714371,854.373319
idba,honest-0,default,18,1,accepted,3.334073,0.993285,125.799365,0.017538,79297,130.960139
idba,honest-0,default,18,1,accepted,3.110491,0.947227,390.793485,0.011474,314076,395.825374
idba,honest-0,default,18,1,accepted,3.062945,1.033451,293.715076,0.017721,224660,298.641903
idba,honest-0,default,18,1,accepted,3.415175,1.069619,986.925562,0.019021,839066,992.330589
idba,honest-0,default,18,1,accepted,3.345893,1.053312,368.472125,0.017390,286411,373.719519
idba,honest-0,default,18,1,accepted,3.160987,1.026783,86.973260,0.017069,48161,92.091150
idba,honest-0,default,18,1,accepted,3.247411,1.032481,331.497596,0.017620,255190,336.686509
idba,honest-0,default,18,1,accepted,3.302534,1.092841,343.145461,0.017050,274054,348.308894
idba,honest-0,default,18,1,accepted,3.412959,1.030548,136.964510,0.017052,88957,142.337956
idba,honest-0,default,18,1,accepted,3.031762,1.204479,287.449222,0.028182,217595,292.594953
idba,honest-0,default,18,1,accepted,3.385507,1.038165,124.201007,0.017361,80632,129.524530
idba,honest-0,default,18,1,accepted,3.085250,1.059933,587.868860,0.017384,488255,592.842670
idba,honest-0,default,18,1,accepted,3.240836,1.303964,39.747904,0.017551,9720,45.211167
idba,honest-0,default,18,1,accepted,3.182062,1.043667,118.431385,0.017100,73248,123.590306
idba,honest-0,default,18,1,accepted,3.451006,1.101515,176.705070,0.016945,122492,182.189876
idba,honest-0,default,18,1,accepted,3.334238,1.064281,172.371036,0.017190,121110,177.724441
idba,honest-0,default,18,1,accepted,3.252748,1.032021,106.947315,0.018051,64272,112.157419
idba,honest-0,default,18,1,accepted,3.546120,1.013760,353.856470,0.017377,274834,359.356827
idba,honest-0,default,18,1,accepted,3.070666,1.061338,187.706625,0.017035,130558,192.630699
